id,code,name,user_type_id/id,chart_template_id/id,reconcile
rcsfd_101100,101100,"Billets et monnaies émis par la BCEAO",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_101200,101200,"Billets et monnaies étrangers",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_110100,110100,"Banque Centrale",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111111,111111,"Organe Financier",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111116,111116,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111117,111117,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111121,111121,"Caisse Centrale",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111126,111126,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_111127,111127,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_112100,112100,"Trésor Public",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_113100,113100,"Centre des Chèques Postaux",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_113600,113600,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_113700,113700,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_114100,114100,"Banque er correspondants",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_114600,114600,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_114700,114700,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_115100,115100,"Etablissements Financiers",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_115600,115600,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_115700,115700,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_116100,116100,"Systèmes Financiers Décentralisés",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_116600,116600,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_116700,116700,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_117100,117100,"Autres institutions financières",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_117600,117600,"Dettes rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_117700,117700,"Créances rattachées",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126111,126111,"Dépôts à terme constitués de 0 à 6 mois au plus chez l’organe financier",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126112,126112,"Dépôts à terme constitués de 0 à 6 mois au plus au Trésor public",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126113,126113,"Dépôts à terme constitués de 0 à 6 mois au plus chez les CCP",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126114,126114,"Dépôts à terme constitués de 0 à 6 mois au plus chez les banques et correspondants",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126115,126115,"Dépôts à terme constitués de 0 à 6 mois au plus chez les établissements fianciers",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126116,126116,"Dépôts à terme constitués de 0 à 6 mois au plus chez les SFD",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126117,126117,"Dépôts à terme constitués de 0 à 6 mois au plus chez les autres institutions financières",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126121,126121,"Dépôts à terme constitués de plus de 6 mois à 12 mois au plus chez l’organe financier",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126122,126122,"Dépôts à terme constitués de plus de 6 mois à 12 mois au plus au Trésor Public",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126123,126123,"Dépôts à terme constitués de plus de 6 mois à 12 mois au plus chez les CCP",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
rcsfd_126124,126124,"Dépôts à terme constitués de plus de 6 mois à 12 mois au plus chez les banques et correspondants",account.data_account_type_liquidity,l10n_rcsfd.l10n_rcsfd_chart_template,False,
